Building source vocabulary...	
Created dictionary of size 50004 (pruned from 272353)	
	
Building target vocabulary...	
Created dictionary of size 50004 (pruned from 151757)	
	
Preparing training data...	
... 100000 sentences prepared	
... 200000 sentences prepared	
... shuffling sentences	
... sorting sentences by size	
Prepared 200000 sentences (0 ignored due to length == 0 or > 50)	
	
Preparing validation data...	
... shuffling sentences	
... sorting sentences by size	
Prepared 5718 sentences (285 ignored due to length == 0 or > 50)	
	
Saving source vocabulary to 'data/demo.src.dict'...	
Saving target vocabulary to 'data/demo.tgt.dict'...	
Saving data to 'data/demo-train.t7'...	
Loading data from 'data/demo-train.t7'...	
 * vocabulary size: source = 50004; target = 50004	
 * additional features: source = 0; target = 0	
 * maximum sequence length: source = 50; target = 51	
 * number of training sentences: 200000	
 * maximum batch size: 64	
Building model...	
 * using input feeding	
Initializing parameters...	
 * number of parameters: 84814004	
Preparing memory optimization...	
 * sharing 63% of output/gradInput tensors memory between clones	
	
Epoch 1 ; Iteration 50/3149 ; Learning rate 1.0000 ; Source tokens/s 429 ; Perplexity 165886.47	
Epoch 1 ; Iteration 100/3149 ; Learning rate 1.0000 ; Source tokens/s 587 ; Perplexity 61743.43	
Epoch 1 ; Iteration 150/3149 ; Learning rate 1.0000 ; Source tokens/s 713 ; Perplexity 24343.15	
Epoch 1 ; Iteration 200/3149 ; Learning rate 1.0000 ; Source tokens/s 796 ; Perplexity 13737.22	
Epoch 1 ; Iteration 250/3149 ; Learning rate 1.0000 ; Source tokens/s 840 ; Perplexity 9189.73	
Epoch 1 ; Iteration 300/3149 ; Learning rate 1.0000 ; Source tokens/s 881 ; Perplexity 6636.04	
Epoch 1 ; Iteration 350/3149 ; Learning rate 1.0000 ; Source tokens/s 908 ; Perplexity 5089.49	
Epoch 1 ; Iteration 400/3149 ; Learning rate 1.0000 ; Source tokens/s 925 ; Perplexity 4110.44	
Epoch 1 ; Iteration 450/3149 ; Learning rate 1.0000 ; Source tokens/s 948 ; Perplexity 3385.44	
Epoch 1 ; Iteration 500/3149 ; Learning rate 1.0000 ; Source tokens/s 961 ; Perplexity 2896.92	
Epoch 1 ; Iteration 550/3149 ; Learning rate 1.0000 ; Source tokens/s 974 ; Perplexity 2526.75	
Epoch 1 ; Iteration 600/3149 ; Learning rate 1.0000 ; Source tokens/s 986 ; Perplexity 2236.82	
Epoch 1 ; Iteration 650/3149 ; Learning rate 1.0000 ; Source tokens/s 998 ; Perplexity 2004.21	
Epoch 1 ; Iteration 700/3149 ; Learning rate 1.0000 ; Source tokens/s 1013 ; Perplexity 1804.50	
Epoch 1 ; Iteration 750/3149 ; Learning rate 1.0000 ; Source tokens/s 1017 ; Perplexity 1659.39	
Epoch 1 ; Iteration 800/3149 ; Learning rate 1.0000 ; Source tokens/s 1022 ; Perplexity 1535.02	
Epoch 1 ; Iteration 850/3149 ; Learning rate 1.0000 ; Source tokens/s 1026 ; Perplexity 1428.62	
Epoch 1 ; Iteration 900/3149 ; Learning rate 1.0000 ; Source tokens/s 1026 ; Perplexity 1343.37	
Epoch 1 ; Iteration 950/3149 ; Learning rate 1.0000 ; Source tokens/s 1034 ; Perplexity 1253.65	
Epoch 1 ; Iteration 1000/3149 ; Learning rate 1.0000 ; Source tokens/s 1036 ; Perplexity 1180.08	
Epoch 1 ; Iteration 1050/3149 ; Learning rate 1.0000 ; Source tokens/s 1043 ; Perplexity 1111.61	
Epoch 1 ; Iteration 1100/3149 ; Learning rate 1.0000 ; Source tokens/s 1046 ; Perplexity 1056.07	
Epoch 1 ; Iteration 1150/3149 ; Learning rate 1.0000 ; Source tokens/s 1046 ; Perplexity 1007.29	
Epoch 1 ; Iteration 1200/3149 ; Learning rate 1.0000 ; Source tokens/s 1050 ; Perplexity 961.10	
Epoch 1 ; Iteration 1250/3149 ; Learning rate 1.0000 ; Source tokens/s 1052 ; Perplexity 918.57	
Epoch 1 ; Iteration 1300/3149 ; Learning rate 1.0000 ; Source tokens/s 1054 ; Perplexity 880.88	
Epoch 1 ; Iteration 1350/3149 ; Learning rate 1.0000 ; Source tokens/s 1055 ; Perplexity 845.41	
Epoch 1 ; Iteration 1400/3149 ; Learning rate 1.0000 ; Source tokens/s 1056 ; Perplexity 813.69	
Epoch 1 ; Iteration 1450/3149 ; Learning rate 1.0000 ; Source tokens/s 1061 ; Perplexity 782.30	
Epoch 1 ; Iteration 1500/3149 ; Learning rate 1.0000 ; Source tokens/s 1066 ; Perplexity 754.61	
Epoch 1 ; Iteration 1550/3149 ; Learning rate 1.0000 ; Source tokens/s 1068 ; Perplexity 729.36	
Epoch 1 ; Iteration 1600/3149 ; Learning rate 1.0000 ; Source tokens/s 1069 ; Perplexity 705.70	
Epoch 1 ; Iteration 1650/3149 ; Learning rate 1.0000 ; Source tokens/s 1069 ; Perplexity 685.52	
Epoch 1 ; Iteration 1700/3149 ; Learning rate 1.0000 ; Source tokens/s 1069 ; Perplexity 665.40	
Epoch 1 ; Iteration 1750/3149 ; Learning rate 1.0000 ; Source tokens/s 1068 ; Perplexity 647.27	
Epoch 1 ; Iteration 1800/3149 ; Learning rate 1.0000 ; Source tokens/s 1071 ; Perplexity 628.39	
